목록 12-11: 루비는 새로 만들어진 모든 live 객체들을 수용하기 위해서 힙 크기를 증가시켜야 한다.

$ ruby gc-profile-array.rb
GC 17 invokes.
Invoke Time(sec)  Use Size(byte)  Total Size(byte)  Total Object    GC Time(ms)
0.031             690920          700040            17501           0.575000
0.034             708480          716320            17908           0.689000
0.037             1261680         1269840           31746           1.077000
0.043             2254280         2262920           56573           1.994999
0.054             4044200         4053720           101343          3.454999
0.074             7266080         7277160           181929          5.288000
0.108             13058920        13072840          326821          9.417000
0.170             23489240        23508320          587708          14.465000
0.279             42267080        42311720          1057793         26.015999
0.478             76096560        76157840          1903946         45.910000
