목록 12-16: -J-verbose:gc 옵션을 이용하여 목록 12-15를 실행하여 생성도니 출력 결과의 시작부분

$ jruby -J-verbose:gc jruby-gc.rb
[GC 16196K->8571K(83008K), 0.0873137 secs]
[GC 25595K->20319K(83008K), 0.0480336 secs]
[GC 37343K->37342K(83008K), 0.0611792 secs]
[GC 37586K(83008K), 0.0029985 secs]
[GC 54366K->54365K(83008K), 0.0617091 secs]
[GC 65553K->65360K(83008K), 0.0586615 secs]
[GC 82384K->82384K(100040K), 0.0479422 secs]
[GC 89491K(100040K), 0.0124503 secs]
[GC 95890K->95888K(147060K), 0.0795343 secs]
[GC 96144K(147060K), 0.0030345 secs]
[GC 130683K->130682K(148020K), 0.0941640 secs]
[GC 147706K->147704K(165108K), 0.0925857 secs]
[GC 150767K->151226K(168564K), 0.0226121 secs]
[Full GC 151226K->125676K(168564K), 0.5317203 secs]
[GC 176397K->176404K(236472K), 0.0999831 secs]

--snip--
